Locality Name,Income Limit Type,Affordable Housing Baseline Estimate,Three Year Commitment Estimate,Annualized Commitment Estimate
Silverthorne Town,Own AMI - Summit County,91,9,3
Silverthorne Town,State Median Income,52,5,2
Silverton Town,"Neighboring AMI - Dolores County, Hinsdale County, Montezuma County, San Juan County",85,8,3
Silverton Town,Neighboring AMI - La Plata County,121,11,4
Silverton Town,Neighboring AMI - Ouray County,84,8,3
Silverton Town,Neighboring AMI - San Miguel County,121,11,4
Silverton Town,Own AMI - San Juan County,85,8,3
Silverton Town,State Median Income,84,8,3
Simla Town,"Neighboring AMI - Arapahoe County, Douglas County, Elbert County",133,12,4
Simla Town,Neighboring AMI - El Paso County,89,9,3
Simla Town,Neighboring AMI - Lincoln County,90,9,3
Simla Town,Own AMI - Elbert County,133,12,4
Simla Town,State Median Income,89,9,3
Snowmass Village Town,"Neighboring AMI - Chaffee County, Lake County, Mesa County",273,25,9
Snowmass Village Town,Neighboring AMI - Eagle County,361,33,11
Snowmass Village Town,Neighboring AMI - Garfield County,271,25,9
Snowmass Village Town,Neighboring AMI - Gunnison County,272,25,9
Snowmass Village Town,Own AMI - Pitkin County,311,28,10
Snowmass Village Town,State Median Income,272,25,9
South Fork Town,"Neighboring AMI - Alamosa County, Archuleta County, Conejos County, Mineral County, Rio Grande County, Saguache County",47,5,2
South Fork Town,Own AMI - Rio Grande County,47,5,2
South Fork Town,State Median Income,47,5,2
Springfield Town,"Neighboring AMI - Baca County, Bent County, Las Animas County, Prowers County",234,22,8
Springfield Town,"Neighboring AMI - Cimarron County, OK",219,20,7
Springfield Town,"Neighboring AMI - Morton County, KS, Stanton County, KS",219,20,7
Springfield Town,"Neighboring AMI - Union County, NM",208,19,7
Springfield Town,Own AMI - Baca County,234,22,8
Springfield Town,State Median Income,233,21,7
Starkville Town,"Neighboring AMI - Baca County, Bent County, Costilla County, Huerfano County, Las Animas County, Otero County, Pueblo County",10,1,1
Starkville Town,"Neighboring AMI - Colfax County, NM",9,1,1
Starkville Town,"Neighboring AMI - Union County, NM",9,1,1
Starkville Town,Own AMI - Las Animas County,10,1,1
Starkville Town,State Median Income,10,1,1
Steamboat Springs City,"Neighboring AMI - Carbon County, WY",475,43,15
Steamboat Springs City,Neighboring AMI - Eagle County,884,80,27
Steamboat Springs City,Neighboring AMI - Garfield County,605,55,19
Steamboat Springs City,Neighboring AMI - Grand County,475,43,15
Steamboat Springs City,"Neighboring AMI - Jackson County, Moffat County",477,43,15
Steamboat Springs City,Neighboring AMI - Rio Blanco County,476,43,15
Steamboat Springs City,Own AMI - Routt County,662,60,20
Steamboat Springs City,State Median Income,474,43,15
Sterling City,"Neighboring AMI - Cheyenne County, NE",1729,156,52
Sterling City,"Neighboring AMI - Kimball County, NE",1604,145,49
Sterling City,"Neighboring AMI - Logan County, Morgan County, Phillips County, Sedgwick County, Washington County, Yuma County",1730,156,52
Sterling City,Neighboring AMI - Weld County,2102,190,64
Sterling City,Own AMI - Logan County,1730,156,52
Sterling City,State Median Income,1723,156,52
Stratton Town,Neighboring AMI - Cheyenne County,65,6,2
Stratton Town,"Neighboring AMI - Cheyenne County, KS",53,5,2
Stratton Town,"Neighboring AMI - Kit Carson County, Lincoln County, Washington County, Yuma County",65,6,2
Stratton Town,"Neighboring AMI - Sherman County, KS",53,5,2
Stratton Town,"Neighboring AMI - Wallace County, KS",65,6,2
Stratton Town,Own AMI - Kit Carson County,65,6,2
Stratton Town,State Median Income,65,6,2
Sugar City Town,"Neighboring AMI - Crowley County, Kiowa County, Lincoln County, Otero County, Pueblo County",33,3,1
Sugar City Town,Neighboring AMI - El Paso County,33,3,1
Sugar City Town,Own AMI - Crowley County,33,3,1
Sugar City Town,State Median Income,33,3,1
Summit County (Unincorporated),"Neighboring AMI - Clear Creek County, Park County",748,68,23
Summit County (Unincorporated),Neighboring AMI - Eagle County,754,68,23
Summit County (Unincorporated),Neighboring AMI - Grand County,324,30,10
Summit County (Unincorporated),Neighboring AMI - Lake County,328,30,10
Summit County (Unincorporated),Own AMI - Summit County,611,55,19
Summit County (Unincorporated),State Median Income,323,30,10
Superior Town,"Neighboring AMI - Adams County, Arapahoe County, Broomfield County, Clear Creek County, Denver County, Douglas County, Gilpin County, Jefferson County, Park County",324,30,10
Superior Town,Neighboring AMI - Boulder County,313,29,10
Superior Town,"Neighboring AMI - Broomfield County, Gilpin County, Jefferson County",324,30,10
Superior Town,Neighboring AMI - Grand County,58,6,2
Superior Town,Neighboring AMI - Larimer County,99,9,3
Superior Town,Neighboring AMI - Teller County,58,6,2
Superior Town,Neighboring AMI - Weld County,101,10,4
Superior Town,Own AMI - Boulder County,313,29,10
Superior Town,Own AMI - Jefferson County,324,30,10
Superior Town,State Median Income,58,6,2
Swink Town,"Neighboring AMI - Bent County, Crowley County, Kiowa County, Las Animas County, Otero County, Pueblo County",91,9,3
Swink Town,Own AMI - Otero County,91,9,3
Swink Town,State Median Income,91,9,3
Teller County (Unincorporated),"Neighboring AMI - Douglas County, Jefferson County, Park County",1112,101,34
Teller County (Unincorporated),Neighboring AMI - El Paso County,734,67,23
Teller County (Unincorporated),Neighboring AMI - Fremont County,740,67,23
Teller County (Unincorporated),Own AMI - Teller County,736,67,23
Teller County (Unincorporated),State Median Income,736,67,23
Telluride Town,"Neighboring AMI - Dolores County, Montrose County, San Juan County",124,12,4
Telluride Town,Neighboring AMI - Ouray County,124,12,4
Telluride Town,"Neighboring AMI - San Juan County, UT",124,12,4
Telluride Town,Own AMI - San Miguel County,168,16,6
Telluride Town,State Median Income,124,12,4
Thornton City,"Neighboring AMI - Adams County, Arapahoe County, Broomfield County, Denver County, Jefferson County",9535,859,287
Thornton City,"Neighboring AMI - Adams County, Broomfield County",9535,859,287
Thornton City,Neighboring AMI - Boulder County,9384,845,282
Thornton City,"Neighboring AMI - Kimball County, NE",2868,259,87
Thornton City,"Neighboring AMI - Laramie County, WY",4654,419,140
Thornton City,Neighboring AMI - Larimer County,6698,603,201
Thornton City,"Neighboring AMI - Logan County, Morgan County",3634,328,110
Thornton City,"Neighboring AMI - Morgan County, Washington County",3634,328,110
Thornton City,Neighboring AMI - Weld County,6831,615,205
Thornton City,Own AMI - Adams County,9535,859,287
Thornton City,Own AMI - Weld County,6831,615,205
Thornton City,State Median Income,3604,325,109
Timnath Town,"Neighboring AMI - Adams County, Broomfield County",68,7,3
Timnath Town,"Neighboring AMI - Albany County, WY",17,2,1
Timnath Town,Neighboring AMI - Boulder County,67,7,3
Timnath Town,Neighboring AMI - Grand County,17,2,1
Timnath Town,Neighboring AMI - Jackson County,17,2,1
Timnath Town,"Neighboring AMI - Kimball County, NE",15,2,1
Timnath Town,"Neighboring AMI - Laramie County, WY",28,3,1
Timnath Town,Neighboring AMI - Larimer County,50,5,2
Timnath Town,"Neighboring AMI - Logan County, Morgan County",17,2,1
Timnath Town,Neighboring AMI - Weld County,51,5,2
Timnath Town,Own AMI - Larimer County,50,5,2
Timnath Town,Own AMI - Weld County,51,5,2
Timnath Town,State Median Income,17,2,1
Trinidad City,"Neighboring AMI - Baca County, Bent County, Costilla County, Huerfano County, Las Animas County, Otero County, Pueblo County",1181,107,36
Trinidad City,"Neighboring AMI - Colfax County, NM",842,76,26
Trinidad City,"Neighboring AMI - Union County, NM",842,76,26
Trinidad City,Own AMI - Las Animas County,1181,107,36
Trinidad City,State Median Income,1179,107,36
Two Buttes Town,"Neighboring AMI - Baca County, Bent County, Las Animas County, Prowers County",3,1,1
Two Buttes Town,"Neighboring AMI - Cimarron County, OK",3,1,1
Two Buttes Town,"Neighboring AMI - Morton County, KS, Stanton County, KS",3,1,1
Two Buttes Town,"Neighboring AMI - Union County, NM",3,1,1
Two Buttes Town,Own AMI - Baca County,3,1,1
Two Buttes Town,State Median Income,3,1,1
Vail Town,Neighboring AMI - Garfield County,211,19,7
Vail Town,Neighboring AMI - Grand County,148,14,5
Vail Town,Neighboring AMI - Lake County,149,14,5
Vail Town,Neighboring AMI - Pitkin County,233,21,7
Vail Town,Neighboring AMI - Routt County,235,22,8
Vail Town,Neighboring AMI - Summit County,234,22,8
Vail Town,Own AMI - Eagle County,284,26,9
Vail Town,State Median Income,148,14,5
Victor City,"Neighboring AMI - Douglas County, Jefferson County, Park County",58,6,2
Victor City,Neighboring AMI - El Paso County,50,5,2
Victor City,Neighboring AMI - Fremont County,50,5,2
Victor City,Own AMI - Teller County,50,5,2
Victor City,State Median Income,50,5,2
Vilas Town,"Neighboring AMI - Baca County, Bent County, Las Animas County, Prowers County",38,4,2
Vilas Town,"Neighboring AMI - Cimarron County, OK",38,4,2
Vilas Town,"Neighboring AMI - Morton County, KS, Stanton County, KS",38,4,2
Vilas Town,"Neighboring AMI - Union County, NM",38,4,2
Vilas Town,Own AMI - Baca County,38,4,2
Vilas Town,State Median Income,38,4,2
Vona Town,Neighboring AMI - Cheyenne County,17,2,1
Vona Town,"Neighboring AMI - Cheyenne County, KS",15,2,1
Vona Town,"Neighboring AMI - Kit Carson County, Lincoln County, Washington County, Yuma County",17,2,1
Vona Town,"Neighboring AMI - Sherman County, KS",15,2,1
Vona Town,"Neighboring AMI - Wallace County, KS",17,2,1
Vona Town,Own AMI - Kit Carson County,17,2,1
Vona Town,State Median Income,17,2,1
Walden Town,"Neighboring AMI - Albany County, WY",80,8,3
Walden Town,"Neighboring AMI - Carbon County, WY",80,8,3
Walden Town,Neighboring AMI - Grand County,80,8,3
Walden Town,Neighboring AMI - Larimer County,90,9,3
Walden Town,Neighboring AMI - Routt County,90,9,3
Walden Town,Own AMI - Jackson County,81,8,3
Walden Town,State Median Income,80,8,3
Walsenburg City,"Neighboring AMI - Alamosa County, Costilla County, Custer County, Huerfano County, Las Animas County, Pueblo County, Saguache County",378,35,12
Walsenburg City,Own AMI - Huerfano County,378,35,12
Walsenburg City,State Median Income,377,34,12
Walsh Town,"Neighboring AMI - Baca County, Bent County, Las Animas County, Prowers County",65,6,2
Walsh Town,"Neighboring AMI - Cimarron County, OK",60,6,2
Walsh Town,"Neighboring AMI - Morton County, KS, Stanton County, KS",61,6,2
Walsh Town,"Neighboring AMI - Union County, NM",59,6,2
Walsh Town,Own AMI - Baca County,65,6,2
Walsh Town,State Median Income,65,6,2
Ward Town,"Neighboring AMI - Broomfield County, Gilpin County, Jefferson County",2,1,1
Ward Town,Neighboring AMI - Grand County,0,0,0
Ward Town,Neighboring AMI - Larimer County,0,0,0
Ward Town,Neighboring AMI - Weld County,0,0,0
Ward Town,Own AMI - Boulder County,2,1,1
Ward Town,State Median Income,0,0,0
Washington County (Unincorporated),"Neighboring AMI - Adams County, Arapahoe County",166,15,5
Washington County (Unincorporated),"Neighboring AMI - Kit Carson County, Lincoln County, Logan County, Morgan County, Washington County, Yuma County",144,13,5
Washington County (Unincorporated),Own AMI - Washington County,144,13,5
Washington County (Unincorporated),State Median Income,144,13,5
Weld County (Unincorporated),"Neighboring AMI - Adams County, Broomfield County",1940,175,59
Weld County (Unincorporated),Neighboring AMI - Boulder County,1926,174,58
Weld County (Unincorporated),"Neighboring AMI - Kimball County, NE",1054,95,32
Weld County (Unincorporated),"Neighboring AMI - Laramie County, WY",1375,124,42
Weld County (Unincorporated),Neighboring AMI - Larimer County,1708,154,52
Weld County (Unincorporated),"Neighboring AMI - Logan County, Morgan County",1280,116,39
Weld County (Unincorporated),Own AMI - Weld County,1724,156,52
Weld County (Unincorporated),State Median Income,1276,115,39
Wellington Town,"Neighboring AMI - Albany County, WY",306,28,10
Wellington Town,Neighboring AMI - Boulder County,765,69,23
Wellington Town,Neighboring AMI - Grand County,306,28,10
Wellington Town,Neighboring AMI - Jackson County,308,28,10
Wellington Town,"Neighboring AMI - Laramie County, WY",307,28,10
Wellington Town,Neighboring AMI - Weld County,807,73,25
Wellington Town,Own AMI - Larimer County,775,70,24
Wellington Town,State Median Income,306,28,10
Westcliffe Town,"Neighboring AMI - Custer County, Fremont County, Huerfano County, Pueblo County, Saguache County",109,10,4
Westcliffe Town,Own AMI - Custer County,109,10,4
Westcliffe Town,State Median Income,109,10,4
Westminster City,"Neighboring AMI - Adams County, Arapahoe County, Broomfield County, Clear Creek County, Denver County, Douglas County, Gilpin County, Jefferson County, Park County",9379,845,282
Westminster City,"Neighboring AMI - Adams County, Arapahoe County, Broomfield County, Denver County, Jefferson County",9379,845,282
Westminster City,Neighboring AMI - Boulder County,9230,831,277
Westminster City,"Neighboring AMI - Morgan County, Washington County",2637,238,80
Westminster City,Neighboring AMI - Teller County,2598,234,78
Westminster City,Neighboring AMI - Weld County,6021,542,181
Westminster City,Own AMI - Adams County,9379,845,282
Westminster City,Own AMI - Jefferson County,9379,845,282
Westminster City,State Median Income,2595,234,78
Wheat Ridge City,"Neighboring AMI - Adams County, Arapahoe County, Broomfield County, Clear Creek County, Denver County, Douglas County, Gilpin County, Jefferson County, Park County",3550,320,107
Wheat Ridge City,Neighboring AMI - Boulder County,3521,317,106
Wheat Ridge City,Neighboring AMI - Teller County,1398,126,42
Wheat Ridge City,Own AMI - Jefferson County,3550,320,107
Wheat Ridge City,State Median Income,1397,126,42
Wiggins Town,Neighboring AMI - Adams County,171,16,6
Wiggins Town,"Neighboring AMI - Logan County, Morgan County, Washington County",108,10,4
Wiggins Town,Neighboring AMI - Weld County,164,15,5
Wiggins Town,Own AMI - Morgan County,108,10,4
Wiggins Town,State Median Income,107,10,4
Wiley Town,"Neighboring AMI - Baca County, Bent County, Kiowa County, Prowers County",35,4,2
Wiley Town,"Neighboring AMI - Greeley County, KS, Hamilton County, KS, Stanton County, KS",30,3,1
Wiley Town,Own AMI - Prowers County,35,4,2
Wiley Town,State Median Income,35,4,2
Williamsburg Town,"Neighboring AMI - Chaffee County, Custer County, Fremont County, Pueblo County, Saguache County",75,7,3
Williamsburg Town,Neighboring AMI - El Paso County,75,7,3
Williamsburg Town,Neighboring AMI - Park County,84,8,3
Williamsburg Town,Neighboring AMI - Teller County,75,7,3
Williamsburg Town,Own AMI - Fremont County,75,7,3
Williamsburg Town,State Median Income,75,7,3
Windsor Town,"Neighboring AMI - Adams County, Broomfield County",1933,174,58
Windsor Town,"Neighboring AMI - Albany County, WY",694,63,21
Windsor Town,Neighboring AMI - Boulder County,1907,172,58
Windsor Town,Neighboring AMI - Grand County,696,63,21
Windsor Town,Neighboring AMI - Jackson County,706,64,22
Windsor Town,"Neighboring AMI - Kimball County, NE",540,49,17
Windsor Town,"Neighboring AMI - Laramie County, WY",1060,96,32
Windsor Town,Neighboring AMI - Larimer County,1600,144,48
Windsor Town,"Neighboring AMI - Logan County, Morgan County",706,64,22
Windsor Town,Neighboring AMI - Weld County,1626,147,49
Windsor Town,Own AMI - Larimer County,1600,144,48
Windsor Town,Own AMI - Weld County,1626,147,49
Windsor Town,State Median Income,694,63,21
Winter Park Town,Neighboring AMI - Boulder County,57,6,2
Winter Park Town,"Neighboring AMI - Clear Creek County, Gilpin County",57,6,2
Winter Park Town,Neighboring AMI - Eagle County,57,6,2
Winter Park Town,Neighboring AMI - Jackson County,29,3,1
Winter Park Town,Neighboring AMI - Larimer County,44,4,2
Winter Park Town,Neighboring AMI - Routt County,44,4,2
Winter Park Town,Neighboring AMI - Summit County,44,4,2
Winter Park Town,Own AMI - Grand County,29,3,1
Winter Park Town,State Median Income,29,3,1
Woodland Park City,"Neighboring AMI - Douglas County, Jefferson County, Park County",743,67,23
Woodland Park City,Neighboring AMI - El Paso County,299,27,9
Woodland Park City,Neighboring AMI - Fremont County,304,28,10
Woodland Park City,Own AMI - Teller County,301,28,10
Woodland Park City,State Median Income,300,27,9
Wray City,"Neighboring AMI - Chase County, NE, Dundy County, NE",284,26,9
Wray City,"Neighboring AMI - Cheyenne County, KS",239,22,8
Wray City,"Neighboring AMI - Kit Carson County, Logan County, Phillips County, Washington County, Yuma County",301,28,10
Wray City,Own AMI - Yuma County,301,28,10
Wray City,State Median Income,301,28,10
Yampa Town,"Neighboring AMI - Carbon County, WY",35,4,2
Yampa Town,Neighboring AMI - Eagle County,55,5,2
Yampa Town,Neighboring AMI - Garfield County,39,4,2
Yampa Town,Neighboring AMI - Grand County,35,4,2
Yampa Town,"Neighboring AMI - Jackson County, Moffat County",35,4,2
Yampa Town,Neighboring AMI - Rio Blanco County,35,4,2
Yampa Town,Own AMI - Routt County,52,5,2
Yampa Town,State Median Income,35,4,2
Yuma City,"Neighboring AMI - Chase County, NE, Dundy County, NE",293,27,9
Yuma City,"Neighboring AMI - Cheyenne County, KS",204,19,7
Yuma City,"Neighboring AMI - Kit Carson County, Logan County, Phillips County, Washington County, Yuma County",310,28,10
Yuma City,Own AMI - Yuma County,310,28,10
Yuma City,State Median Income,310,28,10
Yuma County (Unincorporated),"Neighboring AMI - Chase County, NE, Dundy County, NE",235,22,8
Yuma County (Unincorporated),"Neighboring AMI - Cheyenne County, KS",208,19,7
Yuma County (Unincorporated),"Neighboring AMI - Kit Carson County, Logan County, Phillips County, Washington County, Yuma County",271,25,9
Yuma County (Unincorporated),Own AMI - Yuma County,271,25,9
Yuma County (Unincorporated),State Median Income,271,25,9
